level_0,index,id,classification_predictions,regression_predictions,isHigh,isLow,energy_1vs3,energy_6vs10,energy_20vs30,prob
4835,835,daf33635f88d7d37b38738df83d6727edb8471aa,0.0,3.0,0.0088125765,0.19022074,[0.         0.5444939  0.02908437 0.        ],[0.         0.00187509 0.00040412 0.        ],[0.         0.15208524 0.10194556 0.        ],0.0
6833,833,7ece2ab2c628aa0dffecc76efe252b91c4cadfed,0.0,3.0,0.0020310283,0.63824636,[0.         0.6187254  0.10381979 0.        ],[0.         0.00092064 0.00016869 0.        ],[0.         0.14854042 0.11584844 0.        ],0.0
14660,660,3f32f33ae136b7f04b53347397e17f2266048e2a,0.0,3.0,0.0024136007,0.9056113,[0.         0.61939895 0.10522332 0.        ],[0.         0.00072201 0.0001359  0.        ],[0.         0.14563766 0.1148319  0.        ],0.0
13407,407,f7e36e3f04c69da8e65b8ebf3645c88611451e8d,0.0,3.0,0.0019398928,0.26146817,[0.         0.5831499  0.07103041 0.        ],[0.         0.00075573 0.00016588 0.        ],[0.         0.15067913 0.11012125 0.        ],0.0
11479,479,c8a3d63daa789cfde5a1049350ea9eb804426b14,0.0,3.0,0.0021675825,0.29416987,[0.         0.58548516 0.07471335 0.        ],[0.         0.0012379  0.00022059 0.        ],[0.         0.15461826 0.11079387 0.        ],0.0
5867,867,936edcd0f866f3872035b7fa055ded7dc9214714,0.0,3.0,0.0030226111,0.08396655,[0.         0.57916707 0.07264769 0.        ],[0.         0.00102219 0.00018414 0.        ],[0.         0.15476592 0.09976559 0.        ],0.0
5266,266,5d61e99562eb792c92192953756ccbc33901a1e3,0.0,3.0,0.0009970367,0.5181055,[0.         0.592107   0.08645053 0.        ],[0.         0.0007875  0.00016736 0.        ],[0.         0.14612493 0.12240603 0.        ],0.0
6279,279,fc02395accef3a4ca83db444151cb783801449a8,0.0,3.0,0.0016551018,0.32688427,[0.         0.52986664 0.0246473  0.        ],[0.         0.00146934 0.00028926 0.        ],[0.         0.15381512 0.09784972 0.        ],0.0
11762,762,43c1532a920a5625dc7fd748843cee92c48bf6b4,0.0,3.0,0.0038708746,0.17921388,[0.         0.55883586 0.05653143 0.        ],[0.         0.00108005 0.0001943  0.        ],[0.         0.14923567 0.10838936 0.        ],0.0
13133,133,a452d88851dff14b804b3826c5f07d70559a8682,0.0,3.0,0.0007736981,0.5749812,[0.         0.6039648  0.10294515 0.        ],[0.         0.00118155 0.00018343 0.        ],[0.         0.1475067  0.11773184 0.        ],0.0
6062,62,10fa4384c5352a1180e6e8c866a2577b18f92fb1,0.0,3.0,0.001005888,0.42401457,[0.         0.59045583 0.08991396 0.        ],[0.         0.00070842 0.00014715 0.        ],[0.         0.14512332 0.12500799 0.        ],0.0
12026,26,4b642c840dd9127df186948d62d7001d807ea026,0.0,3.0,0.0018438101,0.10846165,[0.        0.5597617 0.0601909 0.       ],[0.         0.00105654 0.00017291 0.        ],[0.         0.14668466 0.10615686 0.        ],0.0
14653,653,f06eaabfd9220c13752a7a80f54c9625418ec651,0.0,3.0,0.0030687451,0.35844108,[0.         0.5544116  0.05497372 0.        ],[0.         0.00167682 0.00023064 0.        ],[0.         0.14957331 0.09608895 0.        ],0.0
16839,839,7d688012df31c1f77d44e2961091b23d04d9b83e,0.0,3.0,0.0018115044,0.77992857,[0.       0.56824  0.069224 0.      ],[0.         0.00094819 0.00016327 0.        ],[0.         0.1454822  0.11507542 0.        ],0.0
4004,4,6d30e1b0ee3b1d2eaaec0bb9386f4fbd54c9ce18,0.0,3.0,0.006990403,0.3685053,[0.         0.6214924  0.12502922 0.        ],[0.         0.00070325 0.00011386 0.        ],[0.         0.15321118 0.1209702  0.        ],0.0
4906,906,df41e0d76b8f2604d29edcd4543037f214ad8e0d,0.0,3.0,0.002717048,0.27761656,[0.         0.59682435 0.10236545 0.        ],[0.         0.0008529  0.00014166 0.        ],[0.         0.14835092 0.11186235 0.        ],0.0
643,643,6fc0691e9585d1d3cd0ff222eeed525885790f78,0.0,3.0,0.0,1.0,[0.         0.62154716 0.12731807 0.        ],[0.000000e+00 7.707307e-04 9.538362e-05 0.000000e+00],[0.         0.14405186 0.11441197 0.        ],0.0
14138,138,8dd6fc3473c9dfd5ee12ec65ecf2e842aa5e15cf,0.0,3.0,0.003369093,0.48338088,[0.         0.5512987  0.05814151 0.        ],[0.         0.00130045 0.00021771 0.        ],[0.         0.15147974 0.10491984 0.        ],0.0
16438,438,09a71dfc2136e1fcafbe4c1971a95adfb23b2f04,0.0,3.0,0.0015678108,0.91801417,[0.         0.5880918  0.09596958 0.        ],[0.         0.00049948 0.00011645 0.        ],[0.         0.1484867  0.12030302 0.        ],0.0
8476,476,63d88c39b9243571ae01cb80ec47aac0ed80451d,0.0,3.0,0.0045163035,0.16214243,[0.         0.57803565 0.08603029 0.        ],[0.         0.00081795 0.00013574 0.        ],[0.         0.1591058  0.10810036 0.        ],0.0
8744,744,cb931a41e22c394642fe8decb2c67a1cf0a12c45,0.0,3.0,0.0016636848,0.09350887,[0.         0.5712974  0.07962474 0.        ],[0.         0.00133006 0.000245   0.        ],[0.         0.14721814 0.11279387 0.        ],0.0
8038,38,21a9242e0817f25f0a6250982d550e6d25493ede,0.0,3.0,0.0019912422,0.24380338,[0.         0.56091666 0.07050831 0.        ],[0.         0.00145612 0.0002651  0.        ],[0.         0.14631455 0.0985712  0.        ],0.0
4435,435,0e693ba62d901785d1d46523b3ca7edcf15622cf,0.0,3.0,0.001832068,0.51303625,[0.         0.63268155 0.14715852 0.        ],[0.         0.00094242 0.00017013 0.        ],[0.         0.14792298 0.13178399 0.        ],0.0
4795,795,972f813b040b4b5dba704a3184b3df3d7bb44bf6,0.0,3.0,0.002218306,0.686541,[0.        0.6002075 0.1166814 0.       ],[0.         0.00087856 0.00013392 0.        ],[0.         0.13696188 0.12418073 0.        ],0.0
4776,776,2300b7435b4ce83e1ea184f282022550d942908e,0.0,3.0,0.0037670135,0.11009213,[0.         0.5265065  0.04439857 0.        ],[0.         0.00125774 0.00021433 0.        ],[0.         0.14876257 0.100521   0.        ],0.0
11319,319,882c0510285c983fdd2c98c5cfc0443fe090df9e,0.0,3.0,0.0014044046,0.061573535,[0.         0.5578515  0.07871984 0.        ],[0.         0.00145776 0.00025849 0.        ],[0.         0.14743848 0.1084296  0.        ],0.0
5945,945,448174fd74e6242d642466b1556f03addb06b87f,0.0,3.0,0.0005778074,0.35378227,[0.        0.5614274 0.0828504 0.       ],[0.         0.00129004 0.00023465 0.        ],[0.         0.15232721 0.11089624 0.        ],0.0
14596,596,b69f871d2ac9e23a7df301ca99931887456bdeab,0.0,3.0,0.00287956,0.27923584,[0.         0.564276   0.08578133 0.        ],[0.         0.0009273  0.00015402 0.        ],[0.         0.14792888 0.10874938 0.        ],0.0
7425,425,438cddeefe2acc4137c5839bfe3ba77b61da3a8a,0.0,3.0,0.0010242462,0.7683817,[0.         0.56681234 0.0883995  0.        ],[0.         0.00073437 0.00011914 0.        ],[0.         0.1464412  0.12620375 0.        ],0.0
15027,27,5457d3db822eaa24e5bb29cef5555fd36031be0a,0.0,3.0,0.0009872019,0.8489169,[0.         0.5728008  0.09501034 0.        ],[0.         0.00080208 0.00013607 0.        ],[0.         0.14500724 0.11315111 0.        ],0.0
15217,217,e873575ae78ee4b7ab46f4644b890426c95fc21f,0.0,3.0,0.002692908,0.8097845,[0.         0.59250116 0.11494783 0.        ],[0.         0.00091144 0.00016656 0.        ],[0.         0.14868626 0.10901403 0.        ],0.0
609,609,3474d2ec87f90ece1d239f3fabab6562c3541ce0,0.0,3.0,0.0,1.0,[0.         0.5950773  0.12031549 0.        ],[0.         0.00091496 0.0001636  0.        ],[0.         0.15283576 0.10912588 0.        ],0.0
6933,933,a890a84d537bf3124d1ecad5ab429167202665a9,0.0,3.0,0.0009563565,0.8887249,[0.         0.6034973  0.12904964 0.        ],[0.         0.00086974 0.00012586 0.        ],[0.         0.1442721  0.11325806 0.        ],0.0
7493,493,2543d446d2463edbbed5ca15af1234035f42eacf,0.0,3.0,0.0014266968,0.061506063,[0.         0.60680425 0.13262089 0.        ],[0.         0.00081998 0.00012327 0.        ],[0.         0.14417507 0.11386876 0.        ],0.0
13206,206,3885bde53609af9b08fe4d8fc46d046cc9c8ce56,0.0,3.0,0.0006747246,0.50841117,[0.         0.53824145 0.06424729 0.        ],[0.         0.00122818 0.00021047 0.        ],[0.         0.15167758 0.10557309 0.        ],0.0
4672,672,89bbedcb4a1a0cf47e95d7b9240cab58fca068db,0.0,3.0,0.0017402768,0.61549497,[0.         0.5121025  0.03880961 0.        ],[0.         0.00146814 0.00029225 0.        ],[0.         0.14857388 0.10960376 0.        ],0.0
1039,39,a7087d28145b186aa38c6efe98780411253fc1fe,0.0,3.0,0.0,1.0,[0.         0.55398065 0.08233692 0.        ],[0.         0.00112815 0.00023516 0.        ],[0.         0.1501096  0.10763796 0.        ],0.0
544,544,20acffbdf66f4e2dbc2da84aceacdb6e666c4a4a,0.0,3.0,0.0,1.0,[0.         0.57009304 0.09989077 0.        ],[0.         0.00118871 0.0002129  0.        ],[0.         0.14562234 0.10871847 0.        ],0.0
10066,66,0ccd9db71e9cef5eea615b77bf1d359938b13a0c,0.0,3.0,0.0026611984,0.32932758,[0.         0.545332   0.07708991 0.        ],[0.         0.00083394 0.0001435  0.        ],[0.         0.1509125  0.11626834 0.        ],0.0
16506,506,b7b1e939e98ebbf8b10753aa582290655402c338,0.0,3.0,0.0019833744,0.2167288,[0.         0.50776297 0.04134569 0.        ],[0.         0.0018475  0.00031659 0.        ],[0.         0.15268922 0.09721924 0.        ],0.0
10090,90,d08c821c9c75209d0d0e805f82c80fb26ed311fc,0.0,3.0,0.0054323673,0.43961558,[0.         0.56730574 0.10108826 0.        ],[0.         0.00101571 0.00022907 0.        ],[0.         0.15233244 0.10390832 0.        ],0.0
6683,683,03d6313e32a9b7b0410018c3a6c7490a90830fac,0.0,3.0,0.0043474436,0.5277027,[0.         0.553984   0.08914679 0.        ],[0.         0.00068329 0.00012873 0.        ],[0.         0.14782147 0.11720246 0.        ],0.0
10412,412,bc34a8510391e295485fbe0c3bd1af11d5237e42,0.0,3.0,0.0030627549,0.3855731,[0.         0.55139005 0.08695806 0.        ],[0.         0.00089748 0.00014144 0.        ],[0.         0.14873017 0.10928597 0.        ],0.0
6737,737,4e832f754e2f0aae1a7cef821bbfe95f5a535328,0.0,3.0,0.0015106797,0.6333239,[0.         0.53372616 0.07007468 0.        ],[0.         0.00087231 0.00011436 0.        ],[0.         0.13847123 0.12977616 0.        ],0.0
12841,841,dd372015aad8f4337e4d595c46d8bb16aab7e15b,0.0,3.0,0.0013431311,0.56360084,[0.         0.5558311  0.09249128 0.        ],[0.         0.00101967 0.00016078 0.        ],[0.        0.1485257 0.1091698 0.       ],0.0
8546,546,2fd1d294ce6a24f403a26f7bd10470e2d08922b2,0.0,3.0,0.0006789267,0.32098043,[0.         0.5273633  0.06419907 0.        ],[0.         0.00147496 0.00027358 0.        ],[0.         0.15389752 0.11026472 0.        ],0.0
8443,443,f24230396144417ac8509a324ae440be659692b3,0.0,3.0,0.0009624958,0.6370745,[0.         0.5178808  0.05588743 0.        ],[0.         0.00150331 0.00028745 0.        ],[0.         0.14900093 0.10870183 0.        ],0.0
15881,881,d177c9e563fb6b7ed9311122c0187225f70774aa,0.0,3.0,0.0013699234,0.24261144,[0.         0.49820372 0.03633442 0.        ],[0.         0.00174687 0.00031927 0.        ],[0.         0.14820051 0.10098688 0.        ],0.0
14326,326,a97c7fce642f3b82a7360ec994e92da1edb3afdc,0.0,3.0,0.0019285083,0.72219574,[0.         0.55909085 0.09780546 0.        ],[0.         0.00099607 0.00018088 0.        ],[0.         0.14706786 0.10448599 0.        ],0.0
6787,787,773a7a18bb599738a9412666d673e84bc2ac4def,0.0,3.0,0.0012733638,0.4870407,[0.         0.53496677 0.0737424  0.        ],[0.         0.00124531 0.00019798 0.        ],[0.         0.15367284 0.10370436 0.        ],0.0
16580,580,02ac59c1197c8619010424f20409eb2ce22bfda5,0.0,3.0,0.0038585067,0.3253473,[0.         0.5629975  0.10472754 0.        ],[0.         0.00070584 0.00011086 0.        ],[0.         0.15097538 0.1221012  0.        ],0.0
14405,405,4e247b5e28366ed6d6edce3a96811bafcdd2c935,0.0,3.0,0.00080800056,0.8159003,[0.         0.5323381  0.07508711 0.        ],[0.         0.00140518 0.00019031 0.        ],[0.         0.14402553 0.11442677 0.        ],0.0
15882,882,4c8598e5e59ab0703ab4f81a4d2d09073e3aa027,0.0,3.0,0.0013197958,0.18820459,[0.         0.49938363 0.04234728 0.        ],[0.         0.00203987 0.00033577 0.        ],[0.         0.14773165 0.10437664 0.        ],0.0
16720,720,cfe9976fcc226232a1b36e42eb8ba82ba2698383,0.0,3.0,0.0016923547,0.66810143,[0.         0.5788776  0.12303518 0.        ],[0.         0.00089925 0.00015434 0.        ],[0.         0.14662263 0.11794918 0.        ],0.0
14462,462,cabe4c016cceea15eaa513fc7863d771a54bfbb7,0.0,3.0,0.0014586449,0.83341557,[0.        0.5768173 0.1226126 0.       ],[0.         0.0007862  0.00014757 0.        ],[0.         0.14884225 0.12165203 0.        ],0.0
1993,993,c5bdfea72c56ed6c5b00ebfb5534bb289cb16ad0,0.0,3.0,0.0,1.0,[0.         0.52039266 0.06733213 0.        ],[0.         0.00103891 0.00015958 0.        ],[0.         0.14390172 0.09653266 0.        ],0.0
16581,581,fb7a4b65986c97d2e9e201d4833dff22180c89a1,0.0,3.0,0.0041635334,0.39861244,[0.         0.5239564  0.07119359 0.        ],[0.         0.00133991 0.00020116 0.        ],[0.         0.14177142 0.10245927 0.        ],0.0
13007,7,1b5e7b28d7fedb2a540dc2a5e11dd5bf899ccd5e,0.0,3.0,0.0011125207,0.96348226,[0.         0.56506    0.11364984 0.        ],[0.         0.00068637 0.00010166 0.        ],[0.         0.13814938 0.1258613  0.        ],0.0
13937,937,a16046c7e9f0225c08e519e720d2e74d26da355c,0.0,3.0,0.0073820055,0.07601154,[0.         0.55807084 0.10701355 0.        ],[0.         0.00117412 0.00017768 0.        ],[0.         0.14702559 0.1029618  0.        ],0.0
12521,521,49ac187691512ea0f189b593871158423365f26d,0.0,3.0,0.0022996366,0.73505616,[0.         0.52100307 0.070373   0.        ],[0.         0.00098389 0.00014355 0.        ],[0.         0.1479274  0.10540213 0.        ],0.0
12880,880,281878a29015b5301d9255b1228c5328fadcb8b0,0.0,3.0,0.0022538006,0.0309093,[0.         0.48201394 0.03179055 0.        ],[0.         0.00125831 0.00021413 0.        ],[0.         0.15481159 0.10470973 0.        ],0.0
13339,339,e2c0c2e0604f413a182ff08deeb72eda77c05246,0.0,3.0,0.0008467138,0.62365097,[0.         0.5161907  0.06656294 0.        ],[0.         0.00163897 0.00030737 0.        ],[0.         0.15476711 0.11497667 0.        ],0.0
16503,503,a0fd60979de2045317368783c86fe6ab6c557aa8,0.0,3.0,0.002372831,0.73059654,[0.         0.6013011  0.15185998 0.        ],[0.         0.00079059 0.0001208  0.        ],[0.         0.14414956 0.12771867 0.        ],0.0
